date_publication,reference,objet,acheteurs_public,lieux,date_limite,estimation,caution,url
12/08/2026,16/2026/MAECAMRE,MAINTENANCE DES EQUIPEMENTS DE L’INFRASTRUCTURE DES SYSTEMES AVEC FOURNITURE DE PIECES DE RECHANGE POUR LE MINISTERE DES AFFAIRES ETRANGERES DE LA COOPERATION AFRICAINE ET DES MAROCAINS RESIDANT A L'ETRANGER A RABAT.,"MINISTERE DES AFFAIRES ETRANGERES, DE LA COOPERATION AFRICAINE ET DES MAROCAINS RESIDANT A L'ETRANGER",RABAT,"{'date': '24/09/2026', 'time': '11:00'}","1 404 000,00","27 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1008094&orgAcronyme=d2f
12/08/2026,12/2026/DGI,l’acquisition  des licences de la passerelle mail Proofpoint de la Direction Générale des Impôts (lot unique).,DIRECTEUR DES IMPOTS -RABAT,RABAT,"{'date': '24/09/2026', 'time': '10:00'}","2 124 000,00","40 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1009320&orgAcronyme=g8e
07/08/2026,03F/ENSAM/2026,"Achat de Matériel d’Enseignement destiné à L’Ecole Nationale Supérieure d’Arts et Métiers de Casablanca Relevant de L’Université Hassan II de Casablanca en 2 Lots :
-	Lot N°1 : Achat de Matériel d’Enseignement dans le Cadre du Programme du Digital 
-	Lot N°2 : Achat de Matériel d’Enseignement au profit de l’ENSAM Casablanca",ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS - CASABLANCA,MAROC,"{'date': '23/09/2026', 'time': '10:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1031547&orgAcronyme=z7x
12/08/2026,02/2026,"l'Achat de fournitures de Bureau et de consommables informatiques pour le compte du Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Communication - à Rabat (2 lots séparés) 
•	Lot n° 1 : Fournitures de Bureau ;
•	Lot n° 2 : Consommables Informatiques.",DOMAINE DE LA COMMUNICATION,RABAT,"{'date': '22/09/2026', 'time': '11:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1015776&orgAcronyme=x6c
06/08/2026,10/2026,"l’acquisition de matériel informatique au profit de l’INRH composé de quatre lots :
Lot 1 : Acquisition et mise en service de Serveurs, Stockage et Points d'accès Wifi
Lot 2 : Acquisition d’ordinateurs portable et ordinateurs de bureau 
Lot 3 : Acquisition d'imprimantes, Onduleurs et Contrôles d'accès
Lot 4 : Acquisition de photocopieurs",INSTITUT NATIONAL DE RECHERCHE HALIEUTIQUE,TANGER-ASSILAH,"{'date': '22/09/2026', 'time': '11:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1030824&orgAcronyme=u6i
07/08/2026,55/2026,"ACHAT DE MATERIEL INFORMATIQUE ET DU LOGICIEL DESTINES AUX ETABLISSEMENTS DE JEUNES RELEVANT DU DEPARTEMENT DE LA JEUNESSE EN TROIS LOTS.
LOT N°1- ACHAT DE MATERIEL INFORMATIQUE DESTINES AUX ETABLISSEMENTS DE JEUNES RELEVANT DES REGIONS : TANGER-TETOUAN-AL HOCEIMA, L’ORIENTAL, FES –MEKNES, RABAT-SALE – KENITRA.
LOT N°2- ACHAT DE MATERIEL INFORMATIQUE DESTINES AUX ETABLISSEMENTS DE JEUNES RELEVANT DES REGIONS : BENI MELLAL-KHENIFRA, CASABLANCA-SETTAT, MARRAKECH-SAFI, DARAA-TAFILALET, SOUSS-MASSA, GUELMIM-OUED NOUN, LAAYOUNE SAKIA EL HAMRA, DAKHLA-OUED EDDAHAB.
LOT N°3- ACHAT DE LOGICIEL DESTINES AUX ETABLISSEMENTS DE JEUNES RELEVANT DES REGIONS : TANGER-TETOUAN-AL HOCEIMA, L’ORIENTAL, FES –MEKNES, RABAT-SALE – KENITRA, BENI MELLAL-KHENIFRA, CASABLANCA-SETTAT, MARRAKECH-SAFI, DARAA-TAFILALET, SOUSS-MASSA, GUELMIM-OUED NOUN, LAAYOUNE SAKIA EL HAMRA, DAKHLA-OUED EDDAHAB.",DOMAINE DE LA JEUNESSE ET DES SPORTS,TANGER-ASSILAH,"{'date': '22/09/2026', 'time': '10:30'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021119&orgAcronyme=s3d
24/07/2026,08/2026/DRHAG,"Développement et mise en place d’une plateforme intégrée, orientée usagers, dédiée à la diffusion, à la valorisation et à la gouvernance des données statistiques et des publications du HCP.",HAUT COMMISSARIAT AU PLAN,RABAT,"{'date': '22/09/2026', 'time': '10:00'}","4 980 000,00","95 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1012047&orgAcronyme=g7n
11/08/2026,AO/CB/15/2026,Evolution et développement du système d’information de pilotage des prestations déléguées de collecte des déchets et de nettoiement pour le compte de la commune de Casablanca,SOCIETE CASABLANCA BAÏA,CASABLANCA,"{'date': '21/09/2026', 'time': '11:00'}","5 640 000,00","112 800,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1032093&orgAcronyme=a1z
07/08/2026,66/2026,"l’acquisition, l’installation et la mise en service d’une solution de traçabilité des transits par scellés électroniques pour le compte de l’administration des douanes et impôts indirects (lot unique)",DIRECTEUR DES DOUANES ET IMPOTS INDIRECTS RABAT,RABAT,"{'date': '18/09/2026', 'time': '10:00'}","4 260 000,00","30 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1019849&orgAcronyme=g8e
11/08/2026,21/PUITK/2026,"Acquisition du matériel informatique au profit du centre d’excellence automobile et aéronautique de la Faculté des Sciences de l’Université Ibn Tofail de Kénitra, lancé en lot unique.",PRESIDENCE DE L'UNIVERSITE IBN TOFAIL KENITRA,KENITRA,"{'date': '17/09/2026', 'time': '11:30'}","320 640,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1031978&orgAcronyme=z7x
